code_uic,nom,commune,departement,lat,lon,paris_min,paris_gare
87784751,Thuès,Thues-Entre-Valls,PYRENEES-ORIENTALES,42.522907,2.222778,,
87784744,Thuès-les-Bains,Nyer,PYRENEES-ORIENTALES,42.528885,2.249129,,
87757583,Théoule-sur-Mer,Theoule-Sur-Mer,ALPES-MARITIMES,43.513745,6.936819,,
87328195,Thésée,Thesee,LOIR-ET-CHER,47.321886,1.312942,,
87316125,Thézy-Glimont,Thezy-Glimont,SOMME,49.811782,2.435844,,
87215699,Tieffenbach-Struth,Tieffenbach,BAS-RHIN,48.906312,7.255222,,
87484147,Tiercé,Tierce,MAINE-ET-LOIRE,47.617521,-0.469585,,
87393587,Tillières,Tillieres-Sur-Avre,EURE,48.760845,1.05457,,
87342303,Tincques,Tincques,PAS-DE-CALAIS,50.357019,2.498194,,
87485151,Tonnay-Charente,Tonnay-Charente,CHARENTE-MARITIME,45.943377,-0.896182,,
87586651,Tonneins,Tonneins,LOT-ET-GARONNE,44.392746,0.314244,,
87713198,Tonnerre,Tonnerre,YONNE,47.859903,3.972539,,
87486894,Torfou,Sevremoine,MAINE-ET-LOIRE,47.032841,-1.093806,,
87718114,Torpes-Boussières,Torpes,DOUBS,47.163694,5.888707,,
87141044,Toul,Toul,MEURTHE-ET-MOSELLE,48.678414,5.877058,,
87755009,Toulon,Toulon,VAR,43.12843,5.930136,236,Paris Gare de Lyon
87611004,Toulouse-Matabiau,Toulouse,HAUTE-GARONNE,43.614683,1.4533,280,Paris Montparnasse
87286542,Tourcoing,Tourcoing,NORD,50.716659,3.168291,,
87116210,Tournan,Tournan-En-Brie,SEINE-ET-MARNE,48.739325,2.759411,,
87671172,Tournay,Tournay,HAUTES-PYRENEES,43.184079,0.238258,,
87783456,Tournemire-Roquefort,Tournemire,AVEYRON,43.969982,3.016591,,
87725622,Tournus,Tournus,SAONE-ET-LOIRE,46.565758,4.906558,,
87571000,Tours,Tours,INDRE-ET-LOIRE,47.38915,0.69416,78,Paris Montparnasse
87411181,Tourville,Tourville-La-Riviere,SEINE-MARITIME,49.324641,1.098673,,
87543074,Toury,Toury,EURE-ET-LOIR,48.192625,1.939511,,
87756817,Touët-de-l'Escarène,Touet-De-L'Escarene,ALPES-MARITIMES,43.847037,7.364668,,
87696161,Tracy-Sancerre,Tracy-Sur-Loire,NIEVRE,47.337551,2.880651,,
87322347,Traou-Nez,Plourivo,COTES-D'ARMOR,48.748555,-3.135155,,
87393835,Trappes,Trappes,YVELINES,48.775019,2.007197,,
87586446,Trentels-Ladignac,Trentels,LOT-ET-GARONNE,44.44297,0.885033,,
87286740,Tressin,Tressin,NORD,50.61225,3.189408,,
87313353,Tricot,Tricot,OISE,49.561042,2.581532,,
87381236,Trie-Château,Trie-Chateau,OISE,49.282324,1.818643,,
87381806,Triel-sur-Seine,Triel-Sur-Seine,YVELINES,48.980957,2.006125,,
87116491,Trilport,Trilport,SEINE-ET-MARNE,48.960191,2.949533,,
87343400,Trith-St-Léger,Trith-Saint-Leger,NORD,50.331573,3.489039,,
87184242,Trois-Chênes,Belfort,TERRITOIRE-DE-BELFORT,47.64642,6.847094,,
87696203,Tronsanges,Tronsanges,NIEVRE,47.113127,3.053983,,
87118000,Troyes,Troyes,AUBE,48.295565,4.065066,,
87473819,Trégonneau-Squiffiec,Squiffiec,COTES-D'ARMOR,48.624576,-3.174115,,
87484063,Trélazé,Trelaze,MAINE-ET-LOIRE,47.452605,-0.468657,,
87584474,Trémolat,Tremolat,DORDOGNE,44.862331,0.830416,,
87594499,Tulle,Tulle,CORREZE,45.257987,1.757331,,
87761759,Tullins-Fures,Tullins,ISERE,45.301212,5.492585,,
87182352,Turckheim,Turckheim,HAUT-RHIN,48.085603,7.279459,,
87594556,Turenne,Turenne,CORREZE,45.037831,1.600743,,
87673624,USTARITZ-JATXOU,Ustaritz,PYRENEES-ATLANTIQUES,43.404636,-1.448847,,
87775106,Uchaud,Uchaud,GARD,43.757979,4.267365,,
87191130,Uckange,Uckange,MOSELLE,49.303441,6.15619,,
87784884,Ur-les-Escaldes,Ur,PYRENEES-ORIENTALES,42.457471,1.940467,,
87214635,Urmatt,Urmatt,BAS-RHIN,48.525716,7.339126,,
87672386,Urt,Urt,PYRENEES-ATLANTIQUES,43.499384,-1.30072,,
87576348,Urçay,La Perche,CHER,46.629976,2.58663,,
87381178,Us,Us,VAL-D'OISE,49.099499,1.97061,,
87594093,Ussel,Ussel,CORREZE,45.557476,2.314573,,
87594200,Uzerche,Uzerche,CORREZE,45.440541,1.570388,,
87396598,Vaas,Vaas,SARTHE,47.671189,0.315543,,
87116293,Vaires-Torcy,Vaires-Sur-Marne,SEINE-ET-MARNE,48.875352,2.639799,,
87381798,Val-d'Argenteuil,Argenteuil,VAL-D'OISE,48.95026,2.230896,,
87113712,Val-de-Fontenay,Fontenay-Sous-Bois,VAL-DE-MARNE,48.85406,2.489241,,
87415877,Val-de-Reuil,Val-De-Reuil,EURE,49.275815,1.224704,,
87171611,Val-de-Vesle,Val-De-Vesle,MARNE,49.178115,4.222117,,
87761007,Valence,Valence,DROME,44.926841,4.892902,,
87763029,Valence-TGV,Alixan,DROME,44.991448,4.978737,132,Paris Gare de Lyon
87611863,Valence-d'Agen,Valence,TARN-ET-GARONNE,44.111538,0.892577,,
87343004,Valenciennes,Valenciennes,NORD,50.366158,3.518753,,
87576215,Valençay,Valencay,INDRE,47.163082,1.5585,,
87773432,Valergues-Lansargues,Valergues,HERAULT,43.672708,4.06034,,
87745414,Valleiry,Valleiry,HAUTE-SAVOIE,46.109427,5.967004,,
87192732,Valleroy-Moineville,Valleroy,MEURTHE-ET-MOSELLE,49.205088,5.934437,,
87641357,Vallon,Vallon-En-Sully,ALLIER,46.535841,2.611578,,
87746875,Vallorcine,Vallorcine,HAUTE-SAVOIE,46.032372,6.932852,,
87276535,Valmondois,Butry-Sur-Oise,VAL-D'OISE,49.091565,2.20199,,
87447284,Valognes,Valognes,MANCHE,49.499536,-1.472588,,
87192476,Vandières,Vandieres,MEURTHE-ET-MOSELLE,48.952504,6.038999,,
87476606,Vannes,Vannes,MORBIHAN,47.665073,-2.752854,156,Paris Montparnasse
87391532,Vanves-Malakoff,Vanves,HAUTS-DE-SEINE,48.818203,2.291885,,
87484386,Varades-St-Florent-le-Vieil,Loireauxence,LOIRE-ATLANTIQUE,47.374441,-1.019742,,
87141101,Varangéville-St-Nicolas,Varangeville,MEURTHE-ET-MOSELLE,48.635737,6.311746,,
87696351,Varennes-sur-Allier,Varennes-Sur-Allier,ALLIER,46.316987,3.392432,,
87576231,Varennes-sur-Fouzon,Val-Fouzon,INDRE,47.214422,1.614585,,
87594606,Varetz,Varetz,CORREZE,45.19111,1.44741,,
87611327,Varilhes,Varilhes,ARIEGE,43.041505,1.628432,,
87393538,Vauboyen,Bievres,ESSONNE,48.758072,2.194529,,
87276626,Vaucelles,Taverny,VAL-D'OISE,49.021591,2.229794,,
87382267,Vaucresson,Vaucresson,HAUTS-DE-SEINE,48.836703,2.152514,,
87746727,Vaudagne,Les Houches,HAUTE-SAVOIE,45.908833,6.772719,,
87592451,Vaulry,Vaulry,HAUTE-VIENNE,46.024766,1.109088,,
87271601,Vaumoise,Coyolles,AISNE,49.233835,2.988528,,
87775817,Vauvert,Vauvert,GARD,43.69506,4.270078,,
87381814,Vaux-sur-Seine,Vaux-Sur-Seine,YVELINES,49.007267,1.963193,,
87297283,Vauxaillon,Vauxaillon,AISNE,49.474224,3.409799,,
87691469,Vauzelles,Varennes-Vauzelles,NIEVRE,47.001377,3.134368,,
87594739,Vayrac,Vayrac,LOT,44.950128,1.706369,,
87584714,Vayres,Vayres,GIRONDE,44.896303,-0.315691,,
87726208,Veauche-St-Galmier,Veauche,LOIRE,45.567872,4.293266,,
87571414,Veigné,Veigne,INDRE-ET-LOIRE,47.291503,0.734442,,
87712331,Velars,Velars-Sur-Ouche,COTE-D'OR,47.326787,4.927736,,
87212118,Vendenheim,Eckwersheim,BAS-RHIN,48.67859,7.715134,,
87118257,Vendeuvre (Aube),Vendeuvre-Sur-Barse,AUBE,48.240339,4.467805,,
87574558,Vendôme,Vendome,LOIR-ET-CHER,47.802587,1.070514,,
87571216,Vendôme-Villiers-sur-Loir,Villiers-Sur-Loir,LOIR-ET-CHER,47.809458,1.014994,,
87175778,Verdun,Verdun,MEUSE,49.165513,5.378756,,
87775114,Vergèze-Codognan,Vergeze,GARD,43.739779,4.219113,,
87683664,Vermenton,Vermenton,YONNE,47.660552,3.731979,,
